Model Name,Release Year,Color,Series
Tri & Stop Me,2012,Yellow,Thrill Racers - Beach 12
Da'Kar,2012,Lime Green,Thrill Racers - Beach 12
'68 El Camino,2012,Orange,Thrill Racers - Beach 12
'68 Chevy El Camino,2012,Metalflake Champagne,Mystery Models
Sharkruiser,2012,Matte Blue,Thrill Racers - Beach 12
Sharkruiser,2012,Dark Gray,Thrill Racers - Beach 12
'69 Chevelle,2012,Transparent Blue,Thrill Racers - Ice '12
What-4-2,2012,Pale Blue,Thrill Racers - Ice '12
What-4-2,2012,Blue,Mystery Models
What-4-2,2012,Black,Max Steel 5-Pack Arsenal Attack
Paradigm Shift,2012,Transparent Black,Thrill Racers - Ice '12
Cloak And Dagger,2012,Teal,Thrill Racers - Ice '12
Vampyra,2012,Chrome,Thrill Racers - Ice '12
'71 Buick Riviera,2012,Metalflake Green,Thrill Racers - Prehistoric '12
'71 Buick Riviera,2012,Red,Thrill Racers - Prehistoric '12
Shell Shock,2012,Brown,Thrill Racers - Prehistoric '12
Jeep Scrambler,2012,Dark Yellow,Thrill Racers - Prehistoric '12
Fast Fortress,2012,Metalflake Red And Dark Orange,Thrill Racers - Prehistoric '12
T-Rextroyer,2012,Red,Thrill Racers - Earthquake 12
T-Rextroyer,2012,Red,2012 Color Shifters X-Rays
Hummer H2 SUT,2012,Green,Thrill Racers - Earthquake 12
Toyota Off-road Truck,2012,Matte Blue,Thrill Racers - Earthquake 12
Toyota Off-Road Truck,2012,White,Team High-Speed Wheel
Power Sander,2012,Metalflake Teal And Orange,Thrill Racers - Earthquake 12
Mega-Duty,2012,Tan,Thrill Racers - Earthquake '12
Mega-Duty,2012,Blue,Auto Motion Speedway 5-Pack
Dieselboy,2012,Red,Thrill Racers - Earthquake 12
Custom '11 Camaro,2012,White,HW Code Cars 12
Custom '11 Camaro,2012,Metalflake Green,Super Speeders
